CODE	ADRESA	ROK	BARCODE
719JV27531	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27532	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27533	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27534	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27535	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27536	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27537	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27538	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27539	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27540	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27541	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27542	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27543	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27544	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27545	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27546	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27547	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27548	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27549	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27550	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27551	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27552	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27553	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27554	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27555	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27556	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27557	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27558	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27559	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27560	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27561	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27562	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27563	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27564	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27565	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27566	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27567	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27568	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27569	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27570	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27571	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27572	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27573	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27574	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27575	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27576	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27577	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27578	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27579	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27580	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27581	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27582	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27583	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27584	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27585	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27586	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27587	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27588	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27589	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27590	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27591	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27592	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27593	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27594	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27595	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27596	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27597	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27598	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27599	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27600	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27601	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27602	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27603	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27604	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27605	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27606	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27607	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27608	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27609	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27610	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27611	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27612	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27613	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27614	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27615	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27616	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27617	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27618	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27619	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27620	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27621	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27622	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27623	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27624	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27625	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27626	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27627	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27628	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27629	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27630	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27631	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27632	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27633	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27634	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27635	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27636	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27637	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27638	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27639	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27640	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27641	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27642	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27643	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27644	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27645	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27646	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27647	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27648	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27649	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27650	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27651	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27652	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27653	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27654	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27655	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27656	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27657	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27658	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27659	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27660	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27661	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27662	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27663	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27664	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27665	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27666	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27667	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27668	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27669	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27670	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27671	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27672	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27673	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27674	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27675	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
